Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DEN,1,-0.252,4,1,-0.222,1,-0.233,3,-0.278,1,-0.22,1,-0.171,2,-0.291,16,0.046,4,0.033
ARI,2,-0.181,7,6,-0.151,3,-0.113,2,-0.29,3,-0.168,4,-0.1,3,-0.279,24,0.061,16,0.006
CAR,3,-0.173,15,4,-0.17,2,-0.14,5,-0.236,2,-0.2,2,-0.169,4,-0.259,30,0.089,26,-0.03
SEA,4,-0.148,2,2,-0.212,5,-0.086,4,-0.246,6,-0.118,5,-0.06,8,-0.209,26,0.072,18,-0.001
STL,5,-0.14,8,8,-0.1,6,-0.077,6,-0.236,8,-0.082,10,0.01,5,-0.223,13,0.043,1,0.046
NYJ,6,-0.13,22,7,-0.113,9,-0.009,1,-0.339,4,-0.167,6,-0.056,1,-0.358,11,0.042,29,-0.032
HOU,7,-0.122,6,3,-0.184,4,-0.1,15,-0.156,5,-0.14,3,-0.119,11,-0.173,32,0.105,19,-0.007
KC,8,-0.104,20,5,-0.168,7,-0.043,10,-0.2,7,-0.101,7,-0.049,9,-0.184,31,0.1,14,0.006
GB,9,-0.057,16,15,-0.044,8,-0.019,19,-0.111,11,-0.035,9,0.008,22,-0.097,20,0.05,11,0.013
CIN,10,-0.05,14,13,-0.048,10,0.019,12,-0.173,9,-0.047,8,0.005,18,-0.141,1,0.021,17,0.005
NE,11,-0.034,12,16,-0.036,14,0.078,9,-0.207,10,-0.036,11,0.077,7,-0.209,17,0.047,31,-0.034
PIT,12,-0.026,30,9,-0.068,15,0.084,7,-0.21,12,-0.031,12,0.077,6,-0.214,18,0.049,15,0.006
DET,13,-0.023,1,11,-0.057,18,0.114,8,-0.207,16,0.013,20,0.144,16,-0.164,14,0.044,7,0.018
MIN,14,-0.014,23,12,-0.051,11,0.068,18,-0.127,13,-0.022,13,0.082,15,-0.165,8,0.037,10,0.014
IND,15,-0.014,11,14,-0.045,13,0.078,17,-0.142,14,-0.013,14,0.098,13,-0.168,3,0.027,20,-0.012
OAK,16,-0.008,26,10,-0.064,17,0.094,14,-0.164,15,-0.004,16,0.103,12,-0.168,2,0.026,9,0.015
DAL,17,0.02,18,17,0.022,12,0.069,28,-0.038,19,0.05,18,0.122,28,-0.034,9,0.037,6,0.02
ATL,18,0.031,31,18,0.034,19,0.12,21,-0.091,17,0.016,15,0.102,21,-0.102,4,0.029,27,-0.03
TB,19,0.033,19,20,0.053,24,0.205,13,-0.169,18,0.027,23,0.197,10,-0.173,15,0.045,30,-0.034
PHI,20,0.042,10,26,0.116,16,0.091,29,-0.025,21,0.063,17,0.121,31,-0.016,28,0.082,13,0.011
WAS,21,0.06,28,21,0.057,20,0.169,20,-0.093,20,0.06,19,0.137,25,-0.048,12,0.043,24,-0.021
BAL,22,0.063,9,19,0.047,26,0.226,11,-0.177,25,0.085,28,0.253,17,-0.163,19,0.05,5,0.028
TEN,23,0.084,32,31,0.136,23,0.201,27,-0.057,22,0.069,24,0.203,24,-0.092,22,0.059,25,-0.027
BUF,24,0.103,3,28,0.125,21,0.177,30,-0.012,24,0.084,22,0.162,27,-0.036,25,0.063,21,-0.013
JAX,25,0.106,21,29,0.127,31,0.291,16,-0.144,23,0.075,27,0.252,14,-0.165,23,0.061,32,-0.035
SF,26,0.108,5,22,0.073,28,0.259,25,-0.059,31,0.149,31,0.308,29,-0.027,27,0.075,2,0.038
NYG,27,0.11,25,30,0.132,27,0.241,23,-0.077,27,0.109,26,0.251,23,-0.092,10,0.038,23,-0.019
MIA,28,0.11,17,25,0.108,30,0.287,22,-0.081,26,0.095,30,0.285,19,-0.111,29,0.088,22,-0.015
SD,29,0.112,24,24,0.096,22,0.183,32,0.02,28,0.111,21,0.16,32,0.049,7,0.035,8,0.015
CLE,30,0.115,13,23,0.091,29,0.261,26,-0.059,30,0.13,29,0.271,26,-0.038,6,0.032,3,0.036
CHI,31,0.119,29,27,0.119,25,0.211,31,-0.005,29,0.119,25,0.228,30,-0.026,21,0.053,12,0.012
NO,32,0.217,27,32,0.226,32,0.408,24,-0.068,32,0.181,32,0.375,20,-0.109,5,0.031,28,-0.031
