Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
BAL,1,-0.16,5,5,-0.116,1,-0.159,7,-0.161,2,-0.176,1,-0.18,5,-0.172,28,0.081,28,-0.058
NYJ,2,-0.149,6,4,-0.122,3,-0.117,5,-0.184,4,-0.13,6,-0.097,6,-0.167,29,0.085,10,0.02
SF,3,-0.143,17,3,-0.136,8,-0.048,1,-0.319,1,-0.182,5,-0.113,1,-0.308,7,0.032,30,-0.059
CHI,4,-0.133,3,2,-0.141,7,-0.049,2,-0.273,7,-0.11,9,-0.034,2,-0.237,17,0.047,1,0.06
ATL,5,-0.123,9,1,-0.151,6,-0.06,3,-0.223,9,-0.092,10,-0.027,3,-0.196,3,0.024,3,0.035
DET,6,-0.11,16,9,-0.095,2,-0.134,16,-0.071,8,-0.097,4,-0.124,18,-0.053,19,0.052,7,0.026
HOU,7,-0.106,30,7,-0.107,5,-0.067,6,-0.164,3,-0.142,2,-0.128,7,-0.163,13,0.039,24,-0.028
JAX,8,-0.099,32,13,-0.081,9,-0.029,4,-0.189,10,-0.073,14,0.023,4,-0.195,30,0.105,9,0.023
PIT,9,-0.088,1,6,-0.113,4,-0.086,14,-0.091,5,-0.124,3,-0.126,10,-0.121,4,0.031,32,-0.063
SEA,10,-0.063,29,8,-0.102,10,-0.022,10,-0.117,6,-0.111,7,-0.078,8,-0.155,14,0.041,29,-0.058
PHI,11,-0.031,13,12,-0.083,11,-0.008,17,-0.062,11,-0.067,8,-0.039,13,-0.103,31,0.111,23,-0.024
DAL,12,-0.024,24,16,0.009,16,0.044,9,-0.13,13,-0.027,15,0.033,11,-0.119,12,0.039,19,-0.012
MIA,13,-0.023,12,10,-0.089,15,0.037,12,-0.114,19,0.028,19,0.095,16,-0.073,18,0.048,4,0.033
KC,14,-0.023,22,11,-0.085,14,0.017,18,-0.06,16,0.007,17,0.078,17,-0.058,32,0.121,11,0.02
ARI,15,-0.007,19,14,-0.049,13,0.011,22,-0.032,12,-0.032,11,-0.019,19,-0.049,11,0.035,26,-0.032
WAS,16,-0.004,27,18,0.025,17,0.065,15,-0.083,20,0.045,22,0.104,24,-0.024,9,0.034,15,0.012
STL,17,0.007,15,15,-0.01,12,0.007,24,0.006,22,0.057,18,0.078,28,0.034,24,0.066,12,0.016
TEN,18,0.014,10,19,0.033,21,0.108,13,-0.105,15,-0.014,16,0.052,14,-0.097,25,0.066,22,-0.021
CIN,19,0.023,21,20,0.047,19,0.086,19,-0.058,14,-0.027,12,0.014,15,-0.08,2,0.02,31,-0.061
DEN,20,0.025,31,17,0.021,26,0.14,11,-0.116,18,0.028,25,0.144,12,-0.114,1,0.015,14,0.012
NYG,21,0.033,4,21,0.051,20,0.098,20,-0.057,23,0.064,24,0.135,21,-0.033,15,0.042,6,0.028
CLE,22,0.048,20,22,0.053,18,0.069,27,0.028,17,0.013,13,0.016,25,0.01,16,0.045,27,-0.045
MIN,23,0.052,11,24,0.064,27,0.185,8,-0.133,24,0.072,29,0.218,9,-0.131,23,0.065,5,0.03
NO,24,0.058,8,23,0.055,22,0.121,21,-0.054,21,0.056,21,0.101,23,-0.026,6,0.032,18,-0.01
BUF,25,0.087,28,27,0.109,23,0.13,29,0.04,28,0.107,26,0.162,29,0.047,27,0.077,8,0.024
GB,26,0.098,2,29,0.132,24,0.133,28,0.04,26,0.083,20,0.099,30,0.057,8,0.032,21,-0.02
IND,27,0.104,26,25,0.089,28,0.196,26,0.014,29,0.117,28,0.214,27,0.022,20,0.061,13,0.016
OAK,28,0.104,14,26,0.105,25,0.135,30,0.058,25,0.081,23,0.123,26,0.021,26,0.074,17,-0.005
SD,29,0.12,7,28,0.13,32,0.242,23,-0.02,27,0.096,27,0.211,20,-0.036,22,0.064,25,-0.032
NE,30,0.152,23,30,0.157,31,0.241,25,0.009,30,0.128,30,0.226,22,-0.03,10,0.034,20,-0.019
TB,31,0.154,25,31,0.163,30,0.239,31,0.069,32,0.196,32,0.293,32,0.1,21,0.062,2,0.058
CAR,32,0.163,18,32,0.165,29,0.212,32,0.108,31,0.166,31,0.24,31,0.081,5,0.031,16,0.003
