Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
SEA,1,-0.251,5,1,-0.279,1,-0.302,8,-0.179,1,-0.279,1,-0.313,3,-0.231,27,0.083,30,-0.036
ARI,2,-0.191,3,2,-0.217,3,-0.141,1,-0.282,2,-0.174,5,-0.117,1,-0.279,18,0.057,10,0.009
CAR,3,-0.15,13,3,-0.168,4,-0.134,9,-0.179,4,-0.147,4,-0.124,7,-0.19,21,0.063,20,-0.008
BUF,4,-0.134,26,4,-0.165,2,-0.21,20,-0.04,5,-0.135,2,-0.204,20,-0.048,26,0.076,26,-0.027
CIN,5,-0.118,11,7,-0.128,5,-0.127,16,-0.104,3,-0.161,3,-0.16,11,-0.162,29,0.087,25,-0.021
NYG,6,-0.106,18,5,-0.141,7,-0.027,4,-0.214,11,-0.049,11,0.02,12,-0.144,25,0.076,1,0.073
NO,7,-0.091,27,9,-0.091,6,-0.118,19,-0.051,6,-0.079,6,-0.096,19,-0.052,15,0.052,9,0.011
STL,8,-0.089,7,6,-0.135,9,-0.01,5,-0.197,7,-0.078,9,0.008,6,-0.195,20,0.063,6,0.018
BAL,9,-0.075,19,8,-0.097,8,-0.013,11,-0.16,12,-0.045,12,0.021,13,-0.137,2,0.025,12,-0.001
TB,10,-0.063,21,12,-0.047,14,0.053,3,-0.218,15,-0.016,20,0.126,4,-0.206,24,0.073,3,0.044
KC,11,-0.051,32,14,-0.01,10,-0.007,14,-0.113,10,-0.049,7,-0.024,16,-0.086,10,0.047,11,0.006
DET,12,-0.044,22,10,-0.065,13,0.041,7,-0.193,8,-0.061,10,0.015,5,-0.196,30,0.089,19,-0.007
SF,13,-0.04,4,11,-0.05,11,0.004,15,-0.107,9,-0.059,8,-0.013,14,-0.129,7,0.04,23,-0.02
NYJ,14,-0.039,10,18,0.014,19,0.104,2,-0.246,13,-0.025,21,0.127,2,-0.244,14,0.05,22,-0.015
DEN,15,0,6,13,-0.036,22,0.128,6,-0.195,14,-0.025,16,0.079,9,-0.182,16,0.052,24,-0.02
HOU,16,0.01,2,20,0.055,23,0.132,12,-0.142,18,0.029,26,0.185,10,-0.163,17,0.055,15,-0.002
IND,17,0.016,31,16,0.001,15,0.067,18,-0.051,16,-0.005,13,0.043,18,-0.068,32,0.107,27,-0.029
MIA,18,0.028,15,19,0.028,12,0.03,29,0.026,19,0.031,15,0.051,26,0.007,8,0.043,16,-0.004
TEN,19,0.048,25,22,0.084,17,0.102,24,-0.022,22,0.043,19,0.094,23,-0.025,12,0.048,28,-0.032
NE,20,0.053,17,27,0.108,18,0.103,26,-0.009,20,0.034,17,0.082,24,-0.025,11,0.047,29,-0.036
WAS,21,0.053,16,15,-0.003,21,0.123,22,-0.035,27,0.106,23,0.167,29,0.027,23,0.066,2,0.055
PHI,22,0.062,28,17,0.004,28,0.212,10,-0.171,21,0.039,24,0.181,8,-0.183,19,0.059,14,-0.002
PIT,23,0.065,12,21,0.064,20,0.113,27,0.001,17,0.014,14,0.046,22,-0.028,13,0.049,32,-0.053
MIN,24,0.079,14,23,0.084,27,0.212,13,-0.134,24,0.08,29,0.206,15,-0.121,1,0.024,7,0.015
CHI,25,0.094,1,30,0.148,16,0.097,32,0.091,25,0.095,18,0.084,32,0.107,22,0.065,21,-0.014
ATL,26,0.094,9,25,0.103,26,0.196,21,-0.036,26,0.103,27,0.199,25,-0.02,3,0.034,8,0.014
CLE,27,0.1,24,28,0.126,24,0.189,23,-0.027,23,0.051,22,0.146,17,-0.084,9,0.044,31,-0.036
OAK,28,0.107,30,26,0.108,30,0.238,17,-0.064,31,0.154,32,0.302,21,-0.038,28,0.086,4,0.041
DAL,29,0.107,23,31,0.149,25,0.191,25,-0.018,28,0.115,25,0.183,28,0.013,31,0.089,5,0.029
JAX,30,0.125,29,24,0.101,29,0.217,28,0.015,30,0.129,30,0.229,27,0.011,6,0.039,13,-0.001
GB,31,0.159,8,32,0.15,31,0.245,31,0.053,29,0.124,28,0.2,30,0.03,5,0.037,18,-0.005
SD,32,0.193,20,29,0.143,32,0.297,30,0.038,32,0.199,31,0.294,31,0.058,4,0.037,17,-0.004
