Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DEN,1,-0.172,1,1,-0.196,1,-0.245,19,-0.084,2,-0.151,1,-0.194,20,-0.1,23,0.062,3,0.04
ARI,2,-0.171,2,3,-0.148,2,-0.125,7,-0.236,1,-0.165,2,-0.132,9,-0.213,19,0.055,28,-0.032
NYG,3,-0.139,27,2,-0.168,5,-0.047,2,-0.272,5,-0.107,5,-0.015,3,-0.24,10,0.045,5,0.026
PHI,4,-0.11,20,10,-0.061,3,-0.076,14,-0.159,6,-0.081,4,-0.027,15,-0.161,32,0.082,1,0.053
SEA,5,-0.101,4,7,-0.066,13,0.037,5,-0.258,4,-0.111,9,0.019,1,-0.258,16,0.05,29,-0.033
BAL,6,-0.095,22,12,-0.054,10,0.011,3,-0.267,8,-0.065,14,0.047,2,-0.244,27,0.074,4,0.031
MIN,7,-0.094,14,15,-0.035,6,-0.039,10,-0.174,3,-0.114,3,-0.044,8,-0.214,20,0.055,9,0.011
HOU,8,-0.08,7,4,-0.08,4,-0.066,17,-0.101,10,-0.055,6,-0.014,17,-0.113,12,0.045,6,0.024
SD,9,-0.063,29,5,-0.076,9,0.004,13,-0.161,7,-0.07,8,-0.002,13,-0.17,3,0.02,14,0.003
CAR,10,-0.044,3,11,-0.061,11,0.032,12,-0.168,15,-0.017,18,0.09,11,-0.192,7,0.034,8,0.016
PIT,11,-0.03,12,9,-0.062,12,0.037,16,-0.132,14,-0.019,12,0.038,19,-0.107,31,0.079,11,0.009
TB,12,-0.028,19,8,-0.063,8,-0.011,25,-0.051,17,-0.003,10,0.021,24,-0.036,30,0.079,7,0.017
KC,13,-0.026,8,16,-0.018,7,-0.015,26,-0.042,11,-0.043,7,-0.013,21,-0.084,28,0.076,18,-0.003
DAL,14,-0.022,17,14,-0.038,14,0.067,8,-0.191,16,-0.01,19,0.091,10,-0.2,15,0.05,16,0.001
JAX,15,-0.021,25,13,-0.039,17,0.092,11,-0.173,12,-0.029,16,0.086,12,-0.183,9,0.044,19,-0.004
NE,16,-0.016,11,6,-0.073,21,0.147,4,-0.266,9,-0.06,13,0.045,6,-0.221,11,0.045,32,-0.068
LAR,17,-0.015,5,18,-0.003,20,0.14,6,-0.241,13,-0.021,20,0.117,7,-0.221,2,0.018,17,0
CIN,18,0.014,10,17,-0.008,15,0.068,22,-0.067,18,0.007,11,0.034,25,-0.034,13,0.046,22,-0.008
ATL,19,0.036,18,19,-0.002,16,0.07,27,-0.023,21,0.034,17,0.087,23,-0.061,5,0.032,25,-0.023
MIA,20,0.038,28,25,0.071,19,0.112,23,-0.062,20,0.034,15,0.08,27,-0.029,26,0.069,23,-0.018
GB,21,0.038,9,23,0.064,22,0.149,15,-0.141,22,0.035,24,0.159,14,-0.164,25,0.064,15,0.002
CHI,22,0.054,31,24,0.065,18,0.092,28,0,25,0.071,21,0.13,28,-0.012,17,0.051,12,0.005
NYJ,23,0.054,6,21,0.03,32,0.307,1,-0.286,27,0.081,31,0.31,5,-0.227,24,0.064,10,0.011
OAK,24,0.056,16,20,0.03,25,0.175,18,-0.095,23,0.057,23,0.157,22,-0.069,4,0.028,21,-0.007
WAS,25,0.07,21,26,0.074,23,0.162,24,-0.054,28,0.083,25,0.168,26,-0.033,1,0.016,13,0.004
TEN,26,0.076,23,27,0.089,28,0.22,9,-0.187,19,0.033,27,0.182,4,-0.239,18,0.052,31,-0.042
BUF,27,0.094,24,28,0.097,24,0.175,29,0.001,26,0.077,22,0.14,30,0.005,29,0.077,30,-0.033
NO,28,0.104,32,29,0.097,27,0.218,20,-0.077,24,0.066,28,0.193,16,-0.132,6,0.034,24,-0.021
IND,29,0.13,15,22,0.063,26,0.189,32,0.037,29,0.106,26,0.173,29,-0.001,21,0.056,27,-0.031
SF,30,0.14,26,31,0.149,29,0.251,31,0.029,31,0.135,29,0.221,31,0.049,8,0.036,26,-0.023
DET,31,0.14,13,30,0.118,30,0.287,21,-0.073,30,0.135,30,0.303,18,-0.109,22,0.061,20,-0.005
CLE,32,0.164,30,32,0.152,31,0.301,30,0.011,32,0.21,32,0.341,32,0.064,14,0.046,2,0.043
