Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
PIT,1,-0.198,13,1,-0.18,2,-0.137,1,-0.308,1,-0.177,3,-0.112,1,-0.291,21,0.073,13,0.006
GB,2,-0.14,2,2,-0.159,1,-0.154,12,-0.12,3,-0.142,2,-0.15,13,-0.131,4,0.037,22,-0.015
CHI,3,-0.108,22,4,-0.111,4,-0.061,5,-0.183,5,-0.102,5,-0.055,5,-0.176,20,0.072,21,-0.013
NYG,4,-0.103,21,7,-0.079,3,-0.107,16,-0.096,2,-0.146,1,-0.174,16,-0.105,32,0.151,24,-0.023
BAL,5,-0.102,4,3,-0.117,6,-0.051,6,-0.179,12,-0.047,13,0.025,9,-0.156,9,0.053,8,0.039
NYJ,6,-0.097,1,5,-0.097,10,0.019,2,-0.255,7,-0.075,17,0.062,2,-0.264,31,0.146,4,0.049
SD,7,-0.092,23,8,-0.063,5,-0.056,10,-0.139,4,-0.102,4,-0.071,12,-0.142,30,0.1,19,-0.006
NO,8,-0.078,12,6,-0.092,8,-0.022,9,-0.144,6,-0.102,6,-0.034,4,-0.182,7,0.051,30,-0.078
ATL,9,-0.058,19,10,-0.045,7,-0.027,15,-0.108,8,-0.073,8,-0.021,8,-0.159,3,0.029,26,-0.05
TEN,10,-0.049,27,19,0.012,17,0.059,4,-0.195,19,0.002,21,0.118,10,-0.155,13,0.057,1,0.071
MIN,11,-0.044,10,13,-0.038,14,0.035,8,-0.154,10,-0.057,12,0.022,7,-0.168,2,0.027,16,0.001
MIA,12,-0.043,20,9,-0.049,23,0.104,3,-0.208,17,-0.014,22,0.123,6,-0.169,5,0.046,10,0.029
PHI,13,-0.017,3,16,0.004,18,0.061,11,-0.126,13,-0.041,15,0.038,11,-0.151,10,0.055,17,-0.004
OAK,14,-0.016,25,11,-0.045,20,0.075,14,-0.108,18,-0.007,20,0.108,14,-0.121,28,0.091,14,0.006
STL,15,-0.016,31,14,-0.015,9,0.015,17,-0.062,9,-0.059,7,-0.028,15,-0.107,11,0.055,32,-0.089
DET,16,-0.002,30,15,-0.007,13,0.029,18,-0.043,15,-0.017,11,0.008,21,-0.05,14,0.06,18,-0.005
SF,17,0,5,17,0.006,24,0.125,7,-0.165,11,-0.052,18,0.066,3,-0.208,16,0.061,28,-0.071
CAR,18,0.005,6,22,0.039,11,0.019,26,-0.01,21,0.005,16,0.059,20,-0.053,12,0.057,23,-0.018
ARI,19,0.018,9,18,0.008,12,0.022,30,0.014,14,-0.029,10,-0.006,19,-0.055,22,0.073,27,-0.071
CLE,20,0.027,32,24,0.062,21,0.076,23,-0.025,23,0.046,23,0.129,23,-0.041,25,0.081,6,0.043
CIN,21,0.028,17,27,0.076,16,0.056,27,-0.006,25,0.078,24,0.139,29,0.002,24,0.075,5,0.048
KC,22,0.03,26,26,0.076,19,0.063,25,-0.017,20,0.004,14,0.036,24,-0.041,26,0.085,25,-0.032
NE,23,0.032,14,12,-0.041,22,0.08,20,-0.039,22,0.023,19,0.089,18,-0.074,18,0.065,15,0.002
DAL,24,0.042,11,20,0.013,26,0.147,13,-0.11,24,0.057,25,0.153,17,-0.083,15,0.06,12,0.008
TB,25,0.047,24,23,0.048,15,0.055,32,0.039,16,-0.015,9,-0.018,27,-0.011,23,0.074,29,-0.076
IND,26,0.058,16,28,0.082,25,0.143,19,-0.04,28,0.096,28,0.178,28,0.002,6,0.048,2,0.068
WAS,27,0.072,15,25,0.062,27,0.151,21,-0.035,26,0.08,27,0.175,22,-0.047,19,0.069,11,0.028
BUF,28,0.077,8,21,0.023,28,0.155,29,0.011,29,0.135,29,0.214,32,0.068,8,0.053,3,0.061
SEA,29,0.129,28,32,0.177,29,0.242,24,-0.024,27,0.084,26,0.173,25,-0.035,29,0.091,31,-0.087
HOU,30,0.163,18,29,0.118,30,0.319,22,-0.035,30,0.186,30,0.344,26,-0.015,27,0.091,9,0.034
DEN,31,0.188,7,30,0.173,32,0.362,31,0.029,32,0.197,32,0.358,31,0.05,1,0.026,20,-0.011
JAX,32,0.188,29,31,0.176,31,0.343,28,0,31,0.195,31,0.344,30,0.014,17,0.061,7,0.04
