Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
MIN,1,-0.172,7,1,-0.219,2,-0.158,5,-0.194,3,-0.161,3,-0.146,7,-0.184,16,0.059,13,0.005
JAX,2,-0.159,15,4,-0.136,1,-0.239,25,-0.055,1,-0.189,1,-0.286,27,-0.063,29,0.08,31,-0.052
ARI,3,-0.154,2,2,-0.194,6,-0.086,2,-0.255,5,-0.112,9,-0.033,4,-0.229,5,0.038,16,0.003
BAL,4,-0.134,6,6,-0.09,3,-0.114,9,-0.161,2,-0.173,2,-0.173,8,-0.172,32,0.109,28,-0.036
PHI,5,-0.122,4,3,-0.156,8,-0.038,1,-0.277,4,-0.146,5,-0.067,1,-0.291,31,0.104,23,-0.015
NO,6,-0.114,28,5,-0.132,5,-0.108,14,-0.122,9,-0.061,8,-0.036,16,-0.097,20,0.062,11,0.018
LAR,7,-0.095,17,7,-0.078,4,-0.113,23,-0.069,6,-0.089,4,-0.084,18,-0.096,30,0.084,24,-0.018
CAR,8,-0.08,10,9,-0.056,11,-0.017,6,-0.193,10,-0.054,12,0.02,5,-0.187,11,0.054,1,0.046
PIT,9,-0.054,11,15,-0.004,9,-0.036,21,-0.078,7,-0.068,7,-0.066,23,-0.072,25,0.068,26,-0.03
LAC,10,-0.039,9,8,-0.074,10,-0.031,27,-0.05,8,-0.067,6,-0.067,24,-0.067,1,0.026,22,-0.013
DEN,11,-0.038,1,11,-0.02,17,0.121,4,-0.24,12,-0.035,18,0.141,2,-0.259,18,0.06,9,0.02
WAS,12,-0.035,25,13,-0.012,7,-0.055,31,-0.012,14,-0.002,10,-0.005,31,0.002,21,0.063,4,0.034
SEA,13,-0.021,5,12,-0.016,14,0.05,16,-0.112,11,-0.041,13,0.028,12,-0.129,24,0.065,25,-0.023
CHI,14,-0.004,22,16,0.004,15,0.065,18,-0.095,15,0.002,16,0.078,14,-0.098,4,0.033,2,0.039
DET,15,0.001,31,21,0.051,13,0.048,24,-0.062,13,-0.022,11,0.019,22,-0.076,22,0.063,18,-0.007
DAL,16,0.019,14,10,-0.03,16,0.084,20,-0.084,17,0.025,17,0.094,20,-0.085,13,0.054,14,0.004
ATL,17,0.023,19,14,-0.011,19,0.137,11,-0.143,19,0.035,19,0.159,11,-0.147,6,0.04,3,0.036
BUF,18,0.025,27,25,0.066,12,0.039,32,0.007,20,0.043,14,0.048,32,0.036,17,0.059,10,0.018
HOU,19,0.034,8,30,0.11,20,0.159,13,-0.129,22,0.058,21,0.177,17,-0.096,23,0.064,21,-0.011
CLE,20,0.034,32,18,0.025,28,0.258,3,-0.252,21,0.053,28,0.274,3,-0.23,9,0.044,20,-0.011
CIN,21,0.05,18,28,0.084,18,0.134,26,-0.052,16,0.007,15,0.049,30,-0.045,3,0.031,29,-0.046
NYJ,22,0.056,23,17,0.017,24,0.215,12,-0.14,23,0.062,22,0.205,13,-0.115,14,0.058,7,0.021
TEN,23,0.057,26,19,0.034,22,0.197,7,-0.167,18,0.033,20,0.17,6,-0.186,10,0.052,32,-0.055
GB,24,0.058,21,26,0.077,27,0.251,8,-0.165,24,0.073,30,0.28,9,-0.166,7,0.042,8,0.021
NYG,25,0.076,3,20,0.048,21,0.165,28,-0.038,27,0.089,23,0.206,28,-0.059,28,0.078,6,0.025
SF,26,0.091,30,24,0.064,26,0.231,22,-0.077,25,0.076,24,0.206,21,-0.079,15,0.059,27,-0.032
IND,27,0.093,29,27,0.079,32,0.308,10,-0.15,26,0.078,29,0.277,10,-0.148,2,0.031,30,-0.047
MIA,28,0.107,20,29,0.086,29,0.277,15,-0.113,32,0.125,32,0.293,19,-0.093,27,0.076,5,0.033
KC,29,0.108,13,32,0.142,25,0.223,29,-0.037,28,0.095,26,0.222,25,-0.067,19,0.061,17,-0.004
OAK,30,0.12,24,22,0.052,31,0.293,17,-0.098,30,0.119,31,0.291,15,-0.098,26,0.076,15,0.004
NE,31,0.12,16,23,0.059,23,0.206,30,-0.016,29,0.116,25,0.22,29,-0.048,8,0.042,19,-0.01
TB,32,0.12,12,31,0.119,30,0.284,19,-0.087,31,0.122,27,0.271,26,-0.066,12,0.054,12,0.018
