Teams,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
CHI,1,-0.261,4,1,-0.227,1,-0.268,2,-0.248,1,-0.236,1,-0.216,1,-0.271,13,0.045,9,0.024
HOU,2,-0.171,7,5,-0.133,4,-0.143,4,-0.216,2,-0.186,3,-0.157,2,-0.231,21,0.064,22,-0.025
ARI,3,-0.162,15,7,-0.121,2,-0.247,18,-0.064,6,-0.105,2,-0.195,28,-0.001,18,0.059,1,0.049
SF,4,-0.143,3,2,-0.145,7,-0.067,1,-0.258,4,-0.12,6,-0.049,3,-0.226,22,0.065,13,0.007
SEA,5,-0.141,10,8,-0.103,3,-0.152,10,-0.122,5,-0.117,4,-0.126,12,-0.103,32,0.1,15,-0.001
DEN,6,-0.126,20,3,-0.142,5,-0.082,7,-0.186,3,-0.128,5,-0.075,7,-0.2,10,0.044,26,-0.033
STL,7,-0.116,17,6,-0.125,6,-0.07,8,-0.182,9,-0.059,11,-0.009,10,-0.13,4,0.028,8,0.029
GB,8,-0.065,26,12,-0.056,9,-0.033,13,-0.11,11,-0.05,9,-0.023,14,-0.089,24,0.07,16,-0.007
ATL,9,-0.057,5,11,-0.06,8,-0.04,14,-0.078,7,-0.069,7,-0.048,13,-0.096,27,0.082,10,0.013
NYJ,10,-0.029,2,10,-0.061,11,-0.005,19,-0.053,12,-0.044,10,-0.018,18,-0.071,6,0.039,19,-0.013
CIN,11,-0.022,19,4,-0.136,10,-0.01,22,-0.038,10,-0.057,8,-0.039,16,-0.082,30,0.088,27,-0.038
PIT,12,-0.02,9,9,-0.076,14,0.056,11,-0.12,8,-0.065,12,0.001,8,-0.154,9,0.041,29,-0.044
CAR,13,-0.014,32,13,-0.016,12,0.025,16,-0.072,17,0.006,15,0.067,15,-0.082,16,0.057,7,0.029
MIN,14,-0.008,23,17,0.006,17,0.101,5,-0.19,14,-0.009,20,0.115,5,-0.219,11,0.044,12,0.011
MIA,15,-0.001,13,14,-0.01,18,0.114,9,-0.171,15,-0.002,16,0.084,11,-0.129,5,0.037,24,-0.026
WAS,16,0.028,16,15,0.002,13,0.054,25,-0.017,19,0.021,13,0.051,23,-0.034,17,0.057,11,0.013
NE,17,0.029,30,16,0.003,26,0.176,6,-0.187,13,-0.021,18,0.109,6,-0.213,7,0.04,31,-0.052
NYG,18,0.03,21,23,0.041,16,0.098,21,-0.051,20,0.044,22,0.132,20,-0.061,25,0.077,2,0.042
BAL,19,0.031,1,20,0.029,15,0.066,26,-0.009,18,0.014,14,0.055,25,-0.031,1,0.018,17,-0.007
SD,20,0.034,29,18,0.017,22,0.133,12,-0.111,16,0.002,17,0.105,9,-0.149,3,0.022,28,-0.038
TB,21,0.036,31,26,0.079,27,0.18,3,-0.225,22,0.05,28,0.199,4,-0.219,15,0.054,6,0.031
DET,22,0.039,6,21,0.03,19,0.118,15,-0.076,21,0.046,21,0.132,17,-0.078,2,0.019,20,-0.016
DAL,23,0.045,12,27,0.095,20,0.125,20,-0.051,24,0.07,25,0.153,24,-0.032,19,0.063,5,0.032
CLE,24,0.061,22,22,0.037,21,0.128,23,-0.029,23,0.051,24,0.137,19,-0.063,29,0.086,18,-0.009
TEN,25,0.084,18,19,0.022,23,0.135,28,0.02,25,0.084,23,0.135,29,0.02,20,0.063,21,-0.023
BUF,26,0.105,25,24,0.043,25,0.162,30,0.039,26,0.098,19,0.111,32,0.083,28,0.083,30,-0.049
NO,27,0.108,24,25,0.077,24,0.153,31,0.044,28,0.114,26,0.163,30,0.044,8,0.04,3,0.042
PHI,28,0.115,11,32,0.203,32,0.286,17,-0.072,31,0.136,31,0.306,21,-0.048,26,0.08,4,0.037
JAX,29,0.13,8,28,0.101,29,0.255,27,0.002,27,0.109,29,0.224,27,-0.01,12,0.044,23,-0.025
OAK,30,0.143,28,30,0.112,30,0.271,24,-0.018,30,0.129,30,0.266,22,-0.042,31,0.09,25,-0.029
IND,31,0.146,27,29,0.105,28,0.203,32,0.069,29,0.118,27,0.17,31,0.048,14,0.046,32,-0.063
KC,32,0.154,14,31,0.143,31,0.276,29,0.024,32,0.175,32,0.351,26,-0.012,23,0.069,14,0.003
